employee_id,age,gender,education_level,department,job_title,location,years_experience,years_at_company,performance_score,num_projects,training_hours,certifications,team_size,salary
EMP0060,60,Female,Bachelor's,Sales,Director,Remote,3,0,3.6,11,8.0,5.0,25,128499.65
EMP0061,49,Female,High School,Marketing,Mid-Level,Chicago,4,0,3.3,7,29.0,4.0,4,55887.62
EMP0062,25,Male,Bachelor's,Sales,Mid-Level,San Francisco,6,2,2.5,13,17.0,2.0,13,89043.12
EMP0063,37,Female,Master's,Data Science,Lead,Austin,7,1,3.5,13,55.0,2.0,32,177542.87
EMP0064,34,Male,Bachelor's,Sales,Mid-Level,Austin,9,3,2.4,1,89.0,7.0,27,92204.15
EMP0065,41,Non-binary,High School,Sales,Manager,San Francisco,3,0,2.6,19,83.0,0.0,34,107612.18
EMP0066,26,Male,Master's,Finance,Junior,Boston,8,3,2.7,19,,0.0,28,97973.06
EMP0067,58,Male,Bachelor's,Engineering,Junior,Austin,7,2,4.3,15,104.0,5.0,9,86893.14
EMP0068,41,Male,Bachelor's,Data Science,Director,San Francisco,8,0,2.0,14,118.0,5.0,8,217379.64
EMP0069,45,Male,Bachelor's,Engineering,Senior,New York,6,2,2.1,3,30.0,0.0,21,125476.48
EMP0070,57,Female,Bachelor's,Product,Manager,San Francisco,9,0,3.4,4,71.0,3.0,46,209777.26
EMP0071,55,Male,Master's,Data Science,Mid-Level,Remote,16,0,3.3,7,62.0,5.0,30,133763.32
EMP0072,55,Male,Bachelor's,Engineering,Senior,San Francisco,6,2,2.9,1,86.0,0.0,29,148577.31
EMP0073,40,Female,Bachelor's,Engineering,Senior,New York,5,6,3.2,19,49.0,4.0,9,133643.18
EMP0074,38,Female,Master's,Data Science,Senior,Chicago,3,0,2.5,3,88.0,0.0,13,118037.31
EMP0075,26,Female,Master's,Operations,Senior,San Francisco,7,1,3.3,15,110.0,6.0,18,135955.4
EMP0076,46,Male,Master's,Operations,Senior,New York,7,0,3.3,13,0.0,3.0,38,128058.67
EMP0077,39,Female,Bachelor's,Data Science,Mid-Level,San Francisco,8,0,4.1,14,109.0,0.0,22,147119.8
EMP0078,29,Female,Bachelor's,Engineering,Mid-Level,Austin,10,1,4.5,7,81.0,0.0,31,124964.51
EMP0079,48,Male,PhD,Sales,Lead,Austin,9,3,3.0,1,18.0,4.0,35,152523.18
EMP0080,36,Male,Master's,Engineering,Mid-Level,San Francisco,7,0,,13,114.0,5.0,42,150577.5
EMP0081,34,Male,High School,Data Science,Senior,Chicago,16,9,3.5,4,105.0,4.0,42,133748.02
EMP0082,37,Male,High School,HR,Mid-Level,Remote,11,0,,12,63.0,6.0,10,61956.06
EMP0083,43,Male,Bachelor's,Sales,Senior,Chicago,2,3,3.1,7,115.0,6.0,9,88455.85
EMP0084,41,Male,PhD,Engineering,Lead,San Francisco,0,1,2.1,2,52.0,7.0,31,168238.67
EMP0085,34,Female,Bachelor's,Sales,Mid-Level,San Francisco,4,2,3.3,17,5.0,4.0,44,92057.54
EMP0086,41,Female,Bachelor's,Sales,Junior,Chicago,8,0,3.5,1,16.0,0.0,40,58868.97
EMP0087,23,Female,Bachelor's,Operations,Junior,Boston,4,2,3.9,14,45.0,4.0,24,61334.39
EMP0088,56,Female,Master's,HR,Senior,San Francisco,4,2,2.8,1,108.0,2.0,41,105098.1
EMP0089,40,Male,Master's,Data Science,Manager,Seattle,8,5,2.6,3,71.0,1.0,49,208340.56
EMP0090,58,Female,Bachelor's,Finance,Junior,New York,6,2,2.8,11,117.0,1.0,8,82865.43
EMP0091,27,Female,Master's,Engineering,Lead,Chicago,0,1,3.9,7,105.0,4.0,20,129459.44
EMP0092,35,Male,PhD,Operations,Mid-Level,Boston,13,5,4.2,9,72.0,5.0,17,129696.43
EMP0093,25,Female,Bachelor's,Operations,Senior,San Francisco,7,8,4.0,3,100.0,3.0,28,129037.87
EMP0094,43,Non-binary,Bachelor's,Finance,Manager,Austin,1,2,3.7,1,54.0,6.0,6,115804.7
EMP0095,60,Female,Bachelor's,Data Science,Mid-Level,San Francisco,8,6,3.2,19,90.0,4.0,42,137727.18
EMP0096,57,Female,Master's,Finance,Senior,Boston,2,2,3.3,2,99.0,5.0,33,128115.18
EMP0097,55,Male,Bachelor's,Finance,Junior,New York,4,3,3.4,5,5.0,4.0,28,82205.85
EMP0098,48,Male,Master's,Marketing,Junior,Remote,10,3,3.0,17,69.0,0.0,1,68058.28
EMP0099,28,Male,Master's,Engineering,Mid-Level,San Francisco,10,3,3.8,19,108.0,6.0,41,174469.13
EMP0100,24,Female,Bachelor's,Engineering,Junior,Remote,6,1,2.0,5,67.0,,35,64598.1
EMP0101,54,Female,PhD,Engineering,Senior,San Francisco,9,2,2.2,14,85.0,5.0,24,211454.18
EMP0102,23,Non-binary,Bachelor's,HR,Mid-Level,Boston,5,2,2.0,10,39.0,6.0,6,65642.71
EMP0103,37,Male,Bachelor's,Sales,Senior,San Francisco,4,1,2.6,7,90.0,3.0,7,112321.65
EMP0104,46,Male,Master's,Finance,Junior,Remote,6,1,4.1,8,100.0,4.0,9,84370.93
EMP0105,36,Female,Master's,Data Science,Mid-Level,New York,0,1,2.4,8,65.0,2.0,37,98946.48
EMP0106,45,Female,Bachelor's,Engineering,Senior,New York,7,2,2.4,7,8.0,5.0,16,136428.11
EMP0107,36,Male,Master's,Marketing,Director,Austin,10,0,2.6,13,,1.0,34,164464.33
EMP0108,52,Male,PhD,Operations,Junior,New York,9,5,4.0,14,19.0,5.0,35,107044.16
EMP0109,35,Female,Bachelor's,Engineering,Manager,San Francisco,4,5,4.2,19,115.0,7.0,35,193856.64
EMP0110,35,Female,PhD,Engineering,Senior,Remote,12,1,3.9,11,42.0,2.0,20,178339.08
EMP0111,27,Male,Bachelor's,Sales,Senior,Remote,7,0,4.0,2,102.0,6.0,23,104571.35
EMP0112,35,Male,Bachelor's,Engineering,Senior,Chicago,11,8,4.4,17,57.0,7.0,42,139588.83
EMP0113,38,Non-binary,Bachelor's,Product,Junior,Remote,10,6,1.9,6,77.0,2.0,35,74727.28
EMP0114,39,Female,Master's,Data Science,Junior,Austin,15,0,2.3,9,25.0,6.0,47,104745.22
EMP0115,41,Male,Master's,HR,Senior,San Francisco,9,0,2.7,19,37.0,2.0,46,125854.1
EMP0116,38,Male,Bachelor's,Data Science,Mid-Level,Seattle,11,1,3.3,5,93.0,3.0,23,139210.64
EMP0117,37,Female,Bachelor's,Data Science,Manager,Seattle,7,3,3.3,9,35.0,3.0,4,192024.82
EMP0118,61,Male,Master's,Engineering,Mid-Level,Remote,5,0,3.3,7,101.0,5.0,10,102197.65
EMP0119,60,Male,High School,Data Science,Junior,San Francisco,10,2,3.8,4,98.0,7.0,43,111489.01
EMP0120,53,Female,Master's,Finance,Lead,Seattle,15,1,1.9,18,54.0,3.0,11,192735.4
EMP0121,30,Male,Master's,Data Science,Mid-Level,New York,4,5,,18,5.0,1.0,40,135251.94
EMP0122,48,Female,Bachelor's,Data Science,Senior,New York,6,1,3.4,17,2.0,,9,142139.91
EMP0123,54,Male,PhD,Sales,Senior,New York,8,2,3.0,4,64.0,6.0,40,177645.83
EMP0124,31,Female,Bachelor's,Engineering,Manager,Remote,11,9,3.3,16,63.0,0.0,12,164619.07
EMP0125,38,Male,PhD,Engineering,Lead,Boston,9,1,3.9,5,57.0,5.0,17,237018.36
EMP0126,57,Male,Master's,Marketing,Senior,Boston,12,1,3.2,9,116.0,4.0,32,146574.02
EMP0127,38,Male,Master's,Data Science,Senior,Austin,17,4,4.7,2,57.0,4.0,23,217945.74
EMP0128,39,Female,Bachelor's,Data Science,Director,San Francisco,4,0,3.9,2,17.0,5.0,15,222668.52
EMP0129,44,Female,Master's,Engineering,Mid-Level,New York,11,5,3.4,4,22.0,0.0,28,150280.36
EMP0130,55,Male,Bachelor's,Finance,Junior,San Francisco,9,0,3.6,17,95.0,4.0,38,103684.82
EMP0131,29,Female,Bachelor's,Marketing,Mid-Level,Chicago,8,0,3.7,19,28.0,5.0,5,75752.28
EMP0132,34,Female,High School,Engineering,Mid-Level,Boston,11,6,4.4,3,22.0,5.0,40,111796.66
EMP0133,44,Non-binary,Bachelor's,Engineering,Senior,Austin,6,2,4.0,5,35.0,2.0,18,125842.38
EMP0134,41,Male,Bachelor's,Sales,Senior,New York,9,3,3.6,10,,1.0,21,129132.01
EMP0135,43,Female,Master's,Product,Senior,New York,1,0,2.7,6,80.0,7.0,15,135357.78
EMP0136,44,Male,Master's,Sales,Junior,New York,5,0,3.5,3,81.0,4.0,3,93949.05
EMP0137,56,Male,High School,Finance,Lead,Chicago,13,5,3.6,17,94.0,1.0,46,122419.79
EMP0138,24,Non-binary,Master's,Operations,Mid-Level,Remote,6,1,3.7,10,5.0,6.0,26,86319.84
EMP0139,55,Female,Bachelor's,Sales,Senior,Seattle,9,1,2.7,12,33.0,5.0,15,109475.72
EMP0140,54,Male,Master's,Product,Senior,Boston,5,0,3.7,1,43.0,0.0,45,150404.52
EMP0141,38,Male,Master's,Product,Mid-Level,Chicago,12,1,3.8,18,43.0,5.0,20,137789.14
EMP0142,40,Female,Bachelor's,Sales,Junior,Chicago,14,4,2.4,19,26.0,4.0,21,65894.2
EMP0143,51,Female,Master's,Finance,Junior,New York,5,5,2.4,4,99.0,1.0,26,88407.98
EMP0144,44,Male,Bachelor's,Sales,Manager,Remote,0,1,4.0,15,,2.0,41,89371.26
EMP0145,36,Female,Bachelor's,Sales,Manager,Boston,10,3,,9,51.0,7.0,23,155376.99
EMP0146,35,Male,Master's,Engineering,Senior,New York,12,2,4.3,6,41.0,2.0,49,227295.68
EMP0147,23,Male,Bachelor's,HR,Junior,Austin,5,2,3.0,12,24.0,5.0,25,50937.13
EMP0148,60,Female,Bachelor's,Finance,Mid-Level,Austin,15,4,3.5,18,73.0,0.0,4,112558.92
EMP0149,39,Male,Bachelor's,Engineering,Lead,Seattle,15,0,3.4,15,38.0,6.0,10,179409.88
EMP0150,27,Male,Master's,Sales,Lead,Remote,6,0,2.7,19,109.0,7.0,22,116363.77
EMP0151,53,Female,Bachelor's,Data Science,Junior,Austin,8,8,4.2,9,38.0,3.0,3,98549.1
EMP0152,42,Female,Bachelor's,Engineering,Junior,Austin,5,0,3.0,13,11.0,4.0,19,68399.54
EMP0153,61,Male,Master's,Engineering,Lead,New York,2,0,3.2,16,10.0,5.0,31,175119.94
EMP0154,49,Female,Master's,Finance,Mid-Level,New York,3,2,1.8,13,112.0,2.0,9,108692.23
EMP0155,48,Female,Bachelor's,Product,Mid-Level,San Francisco,11,4,2.3,1,106.0,2.0,29,138828.77
EMP0156,23,Male,Bachelor's,Engineering,Junior,New York,5,2,4.0,18,116.0,0.0,37,89841.3
EMP0157,54,Female,Bachelor's,Operations,Senior,Boston,12,1,3.2,3,2.0,2.0,46,104550.71
EMP0158,37,Male,Bachelor's,Operations,Manager,Boston,19,11,2.8,17,114.0,4.0,7,140001.89
EMP0159,60,Male,Bachelor's,Engineering,Director,New York,10,3,,5,21.0,0.0,38,244181.19
EMP0160,43,Female,Master's,Operations,Senior,Remote,4,5,3.6,6,3.0,1.0,24,88167.98
EMP0161,34,Non-binary,Master's,Sales,Senior,New York,13,0,4.1,17,7.0,0.0,8,163108.87
EMP0162,23,Male,Master's,HR,Junior,San Francisco,3,0,2.8,17,13.0,6.0,34,73224.01
EMP0163,35,Male,Bachelor's,HR,Senior,San Francisco,16,1,4.0,1,,4.0,26,134594.12
EMP0164,59,Male,Master's,Finance,Mid-Level,Chicago,0,0,3.1,7,87.0,,28,76830.15
EMP0165,49,Male,Bachelor's,Engineering,Senior,San Francisco,5,0,3.6,16,13.0,4.0,28,146002.44
EMP0166,28,Male,PhD,Data Science,Mid-Level,Austin,10,0,2.0,5,91.0,1.0,46,131281.15
EMP0167,39,Male,Master's,Sales,Mid-Level,Chicago,13,2,2.1,16,15.0,5.0,7,93976.21
EMP0168,57,Female,Bachelor's,Engineering,Junior,Remote,4,3,3.8,4,31.0,0.0,3,63499.13
EMP0169,57,Male,Master's,Engineering,Mid-Level,New York,3,4,3.4,11,63.0,4.0,22,133884.05
EMP0170,25,Male,Bachelor's,HR,Junior,New York,7,0,3.5,14,110.0,4.0,38,75553.99
EMP0171,51,Female,Master's,Operations,Junior,New York,17,1,2.4,13,75.0,1.0,46,93155.25
EMP0172,45,Female,High School,Engineering,Director,Seattle,0,0,2.9,8,15.0,3.0,44,131766.05
EMP0173,41,Male,Bachelor's,Finance,Mid-Level,New York,6,1,2.0,15,51.0,0.0,18,98507.48
EMP0174,52,Male,Master's,Engineering,Senior,Remote,9,1,2.6,18,18.0,7.0,12,132930.34
EMP0175,45,Female,Bachelor's,HR,Manager,Austin,4,2,3.2,7,68.0,4.0,31,101727.82
EMP0176,28,Male,Master's,Engineering,Director,Austin,4,5,3.4,19,11.0,2.0,39,197192.53
EMP0177,47,Male,Bachelor's,Operations,Senior,Austin,6,4,2.7,9,92.0,,5,85373.08
EMP0178,34,Female,Master's,Marketing,Lead,New York,9,3,3.6,11,4.0,3.0,44,172133.17
EMP0179,29,Male,Master's,Product,Mid-Level,San Francisco,7,6,3.2,10,41.0,3.0,41,148042.5
EMP0180,26,Male,Bachelor's,Engineering,Mid-Level,San Francisco,8,3,3.0,14,16.0,1.0,29,125052.46
EMP0181,34,Male,Bachelor's,Sales,Mid-Level,Austin,10,5,3.3,16,110.0,3.0,43,99039.34
EMP0182,50,Male,Bachelor's,Engineering,Senior,San Francisco,9,2,4.7,8,71.0,4.0,36,176615.48
EMP0183,41,Male,High School,Product,Senior,New York,13,2,3.1,1,103.0,3.0,14,150668.09
EMP0184,35,Non-binary,Bachelor's,Data Science,Mid-Level,Remote,10,3,3.9,12,103.0,0.0,44,107755.02
EMP0185,53,Male,Master's,Sales,Junior,New York,5,0,3.6,3,93.0,7.0,18,87185.57
EMP0186,48,Male,PhD,Operations,Senior,Boston,6,3,3.0,2,9.0,2.0,7,124879.49
EMP0187,46,Male,Master's,Data Science,Junior,Boston,2,3,2.1,16,83.0,7.0,23,81566.2
EMP0188,25,Female,Master's,Finance,Senior,San Francisco,7,3,2.8,4,108.0,7.0,33,176650.73
EMP0189,42,Female,Master's,Finance,Senior,New York,12,0,3.3,2,15.0,4.0,45,183968.13
EMP0190,39,Male,Master's,Engineering,Lead,New York,0,1,3.1,12,104.0,1.0,16,151409.65
EMP0191,60,Female,Bachelor's,Engineering,Lead,Seattle,14,4,4.1,17,15.0,2.0,37,188144.29
EMP0192,36,Male,PhD,Data Science,Manager,Seattle,0,1,,10,41.0,5.0,25,168233.58
EMP0193,59,Male,Master's,Data Science,Senior,Boston,10,1,3.1,8,2.0,4.0,9,174934.91
EMP0194,45,Male,Bachelor's,HR,Lead,Remote,0,1,3.6,18,22.0,2.0,28,68251.77
EMP0195,29,Male,Bachelor's,Sales,Senior,Seattle,5,5,3.0,18,85.0,3.0,9,106824.62
EMP0196,49,Male,Bachelor's,Sales,Junior,New York,14,0,3.9,18,27.0,5.0,12,98461.67
EMP0197,42,Female,Bachelor's,Operations,Junior,San Francisco,14,5,2.4,2,109.0,1.0,18,87422.78
EMP0198,37,Male,Master's,Data Science,Mid-Level,Remote,9,1,2.1,12,44.0,1.0,27,111534.2
EMP0199,37,Female,Bachelor's,Data Science,Mid-Level,San Francisco,11,2,3.0,10,99.0,7.0,26,161183.48
EMP0200,56,Male,Bachelor's,Data Science,Senior,New York,0,1,3.2,8,67.0,0.0,26,107064.37
EMP0201,38,Male,PhD,HR,Manager,Seattle,10,3,,19,101.0,3.0,10,173373.18
EMP0202,30,Male,Bachelor's,Engineering,Junior,Chicago,12,4,3.3,10,23.0,7.0,17,86466.82
EMP0203,56,Female,Bachelor's,Engineering,Junior,Remote,20,1,2.9,11,18.0,0.0,32,80005.17
EMP0204,50,Male,High School,Data Science,Director,Seattle,4,5,2.1,14,74.0,0.0,24,147785.95
EMP0205,60,Female,Master's,HR,Junior,New York,8,4,3.1,15,39.0,3.0,43,81712.05
EMP0206,39,Male,PhD,Engineering,Senior,Remote,8,4,2.5,10,45.0,4.0,48,149020.7
EMP0207,33,Male,Bachelor's,Engineering,Senior,San Francisco,11,1,3.2,4,39.0,5.0,8,182089.89
EMP0208,40,Male,Master's,Operations,Senior,San Francisco,12,0,2.4,7,61.0,6.0,30,156830.01
EMP0209,43,Male,Bachelor's,Engineering,Junior,Chicago,13,2,3.5,11,109.0,0.0,26,93889.21
EMP0210,36,Male,PhD,Engineering,Junior,New York,12,6,4.4,3,118.0,2.0,24,151493.82
EMP0211,22,Male,Master's,Finance,Junior,Austin,0,0,2.7,5,102.0,5.0,27,63893.72
EMP0212,23,Female,Master's,Operations,Senior,New York,0,1,2.3,2,116.0,4.0,15,89472.78
EMP0213,29,Male,High School,Operations,Senior,Chicago,5,4,4.0,12,17.0,7.0,28,71463.37
EMP0214,43,Female,PhD,Engineering,Mid-Level,San Francisco,7,3,4.4,5,11.0,3.0,11,186634.26
EMP0215,46,Male,Master's,Operations,Senior,Boston,4,3,2.3,7,13.0,1.0,39,94178.31
EMP0216,23,Male,Bachelor's,Engineering,Manager,Boston,5,2,3.1,4,110.0,4.0,2,150962.44
EMP0217,30,Female,Master's,Sales,Junior,New York,6,3,3.5,11,81.0,7.0,9,98318.83
EMP0218,30,Male,Bachelor's,Operations,Senior,Chicago,10,1,3.0,9,60.0,0.0,45,95763.67
EMP0219,34,Male,Master's,HR,Senior,Chicago,2,3,2.0,4,107.0,2.0,23,67481.79
EMP0220,27,Female,Bachelor's,Data Science,Mid-Level,New York,7,3,2.2,9,105.0,7.0,33,120696.87
EMP0221,51,Female,Master's,Operations,Mid-Level,Boston,7,4,2.3,12,11.0,5.0,19,94756.38
EMP0222,36,Male,Bachelor's,Finance,Senior,Seattle,10,4,2.5,16,103.0,3.0,13,136612.69
EMP0223,36,Male,High School,Engineering,Manager,San Francisco,13,0,3.3,1,26.0,1.0,14,187187.86
EMP0224,28,Female,Bachelor's,Sales,Lead,Chicago,10,0,4.0,8,5.0,5.0,32,121937.96
EMP0225,32,Male,High School,Sales,Senior,New York,4,4,2.2,1,87.0,2.0,49,82550.64
EMP0226,61,Female,Bachelor's,Engineering,Lead,Seattle,0,0,2.6,19,114.0,6.0,22,108912.15
EMP0227,59,Male,Bachelor's,Product,Mid-Level,New York,6,2,2.4,4,32.0,1.0,20,110474.7
EMP0228,61,Male,Bachelor's,Marketing,Senior,Remote,0,1,3.4,14,108.0,3.0,33,63573.81
EMP0229,23,Female,Bachelor's,Data Science,Senior,Boston,5,0,2.6,14,117.0,5.0,5,121911.37
EMP0230,60,Female,Bachelor's,HR,Junior,Chicago,3,0,2.5,9,79.0,4.0,20,42411.62
EMP0231,31,Male,Master's,Data Science,Lead,Austin,10,5,2.1,9,49.0,0.0,14,176781.24
EMP0232,38,Male,High School,Finance,Senior,Remote,12,2,4.2,17,11.0,,27,99007.5
EMP0233,28,Female,PhD,HR,Mid-Level,Austin,9,2,4.7,15,94.0,7.0,26,113792.73
EMP0234,61,Female,Master's,Finance,Manager,New York,18,8,3.3,10,56.0,2.0,32,256457.65
EMP0235,60,Male,Master's,Engineering,Junior,Chicago,6,0,4.2,17,100.0,4.0,30,93186.4
EMP0236,25,Female,Bachelor's,Operations,Mid-Level,Remote,3,0,2.8,9,52.0,5.0,27,56726.02
EMP0237,56,Female,Master's,Sales,Junior,Seattle,3,4,3.2,4,12.0,1.0,26,68280.37
EMP0238,57,Female,Bachelor's,Engineering,Lead,Seattle,11,4,3.7,14,71.0,4.0,18,193450.01
EMP0239,52,Female,High School,HR,Lead,Remote,7,1,2.7,3,101.0,4.0,45,81255.27
EMP0240,46,Male,Bachelor's,Engineering,Mid-Level,Remote,3,4,3.1,12,2.0,2.0,23,74400.51
EMP0241,34,Female,Master's,Product,Senior,Remote,10,8,3.0,1,63.0,0.0,44,125736.77
EMP0242,39,Female,High School,Product,Mid-Level,New York,11,0,3.5,1,83.0,6.0,47,110666.24
EMP0243,42,Male,Bachelor's,Data Science,Lead,Austin,9,0,3.2,13,57.0,7.0,24,164255.59
EMP0244,22,Male,PhD,Marketing,Senior,Boston,4,5,2.7,14,3.0,7.0,4,121488.83
EMP0245,57,Male,Master's,Engineering,Mid-Level,Boston,8,1,3.0,16,107.0,4.0,41,140056.64
EMP0246,29,Female,Bachelor's,Product,Manager,Seattle,5,0,4.0,7,44.0,4.0,3,172217.16
EMP0247,42,Male,High School,Marketing,Mid-Level,New York,12,4,3.6,10,,0.0,43,99726.97
EMP0248,42,Female,Master's,Product,Junior,Boston,3,1,3.5,15,114.0,0.0,30,90163.78
EMP0249,48,Female,Bachelor's,Product,Senior,Boston,2,2,4.8,8,35.0,1.0,47,121403.45
EMP0250,40,Female,Bachelor's,Data Science,Director,New York,13,0,2.4,11,22.0,5.0,16,249293.21
EMP0251,44,Female,High School,Sales,Mid-Level,Chicago,6,3,3.7,14,108.0,7.0,7,70294.64
EMP0252,56,Non-binary,PhD,Marketing,Junior,New York,16,2,3.2,13,18.0,1.0,39,116959.38
EMP0253,61,Male,Master's,Data Science,Mid-Level,San Francisco,12,0,3.4,13,39.0,0.0,22,176676.95
EMP0254,26,Female,Master's,Sales,Senior,New York,5,1,3.3,9,71.0,,41,138867.73
